t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, -2.917, 0.000, 0.001, -3.142, 0.000
0.010, -2.899, -0.115, 0.001, 1.567, -0.029
0.020, -2.881, -0.225, 0.004, 1.570, -0.056
0.030, -2.863, -0.329, 0.005, 1.571, -0.082
0.040, -2.843, -0.429, 0.005, 1.571, -0.107
0.051, -2.822, -0.524, 0.005, 1.571, -0.131
0.061, -2.796, -0.617, 0.005, 1.571, -0.154
0.071, -2.768, -0.702, 0.004, 1.571, -0.176
0.081, -2.739, -0.783, 0.004, 1.571, -0.196
0.091, -2.708, -0.859, 0.004, 1.571, -0.215
0.101, -2.677, -0.931, 0.004, 1.571, -0.233
0.112, -2.647, -0.999, 0.004, 1.571, -0.250
0.122, -2.617, -1.064, 0.004, 1.571, -0.266
0.132, -2.587, -1.127, 0.004, 1.571, -0.282
0.142, -2.556, -1.183, 0.004, 1.571, -0.296
0.152, -2.545, -1.237, 0.004, 1.571, -0.309
0.163, -2.489, -1.287, 0.004, 1.571, -0.322
0.173, -2.461, -1.333, 0.004, 1.571, -0.333
0.183, -2.433, -1.377, 0.004, 1.571, -0.344
0.193, -2.403, -1.417, 0.004, 1.571, -0.354
0.203, -2.374, -1.455, 0.004, 1.571, -0.364
0.213, -2.343, -1.491, 0.004, 1.571, -0.373
0.223, -2.312, -1.523, 0.004, 1.571, -0.381
0.233, -2.268, -1.553, 0.004, 1.571, -0.388
0.244, -2.237, -1.581, 0.004, 1.571, -0.395
0.254, -2.206, -1.606, 0.004, 1.571, -0.402
0.265, -2.170, -1.630, 0.004, 1.571, -0.407
0.275, -2.132, -1.649, 0.004, 1.571, -0.412
0.285, -2.089, -1.667, 0.004, 1.571, -0.417
0.295, -2.042, -1.682, 0.004, 1.571, -0.420
0.305, -1.994, -1.694, 0.004, 1.571, -0.424
0.316, -1.943, -1.704, 0.004, 1.571, -0.426
0.326, -1.890, -1.712, 0.004, 1.571, -0.428
0.336, -1.835, -1.717, 0.004, 1.571, -0.429
0.346, -1.773, -1.719, 0.004, 1.571, -0.430
0.356, -1.706, -1.718, 0.004, 1.571, -0.430
0.366, -1.636, -1.715, 0.004, 1.572, -0.429
0.376, -1.563, -1.709, 0.004, 1.572, -0.427
0.386, -1.488, -1.700, 0.004, 1.572, -0.425
0.396, -1.410, -1.689, 0.004, 1.572, -0.422
0.406, -1.333, -1.675, 0.004, 1.572, -0.419
0.416, -1.257, -1.658, 0.004, 1.572, -0.415
0.427, -1.184, -1.639, 0.004, 1.572, -0.410
0.437, -1.110, -1.618, 0.004, 1.572, -0.405
0.447, -1.037, -1.595, 0.004, 1.572, -0.399
0.457, -0.974, -1.571, 0.004, 1.572, -0.393
0.467, -0.911, -1.545, 0.004, 1.572, -0.386
0.478, -0.845, -1.516, 0.004, 1.572, -0.379
0.488, -0.773, -1.486, 0.005, 1.573, -0.371
0.498, -0.719, -1.455, 0.005, 1.573, -0.364
0.508, -0.666, -1.424, 0.005, 1.573, -0.356
0.519, -0.645, -1.392, 0.005, 1.573, -0.348
