t, thetas, theta_hats, omegas, gait_phase, offsets
0.010, 1.346, 0.053, 1.560, -1.567, 0.013
0.020, 1.355, 0.105, 1.548, -1.563, 0.026
0.030, 1.366, 0.155, 1.536, -1.560, 0.039
0.041, 1.377, 0.204, 1.524, -1.556, 0.051
0.051, 1.387, 0.250, 1.512, -1.552, 0.063
0.061, 1.394, 0.296, 1.501, -1.548, 0.074
0.071, 1.399, 0.339, 1.490, -1.544, 0.085
0.081, 1.402, 0.381, 1.479, -1.540, 0.095
0.091, 1.405, 0.421, 1.468, -1.536, 0.105
0.101, 1.408, 0.459, 1.457, -1.532, 0.115
0.111, 1.413, 0.497, 1.447, -1.528, 0.125
0.121, 1.422, 0.533, 1.436, -1.524, 0.134
0.131, 1.433, 0.568, 1.426, -1.520, 0.143
0.142, 1.442, 0.602, 1.415, -1.516, 0.152
0.152, 1.445, 0.635, 1.405, -1.512, 0.160
0.162, 1.444, 0.667, 1.395, -1.508, 0.168
0.172, 1.441, 0.697, 1.385, -1.503, 0.176
0.182, 1.438, 0.725, 1.376, -1.499, 0.183
0.193, 1.437, 0.751, 1.366, -1.494, 0.190
0.203, 1.437, 0.777, 1.357, -1.490, 0.197
0.213, 1.436, 0.802, 1.348, -1.485, 0.204
0.223, 1.432, 0.825, 1.339, -1.481, 0.210
0.233, 1.429, 0.847, 1.330, -1.476, 0.216
0.243, 1.424, 0.868, 1.322, -1.471, 0.222
0.253, 1.420, 0.887, 1.313, -1.466, 0.227
0.264, 1.416, 0.906, 1.305, -1.461, 0.232
0.274, 1.413, 0.924, 1.297, -1.456, 0.238
0.284, 1.409, 0.940, 1.289, -1.450, 0.243
0.294, 1.405, 0.956, 1.281, -1.445, 0.247
0.305, 1.402, 0.971, 1.273, -1.440, 0.252
0.315, 1.398, 0.984, 1.265, -1.434, 0.256
0.325, 1.394, 0.997, 1.258, -1.429, 0.260
0.335, 1.386, 1.008, 1.251, -1.424, 0.264
0.345, 1.386, 1.019, 1.244, -1.418, 0.268
0.356, 1.375, 1.030, 1.236, -1.412, 0.272
0.366, 1.369, 1.038, 1.230, -1.406, 0.275
0.377, 1.363, 1.047, 1.223, -1.400, 0.278
