t, thetas, theta_hats, omegas, gait_phase, offsets
0.010, 0.653, 0.026, 2.551, -1.565, 0.006
0.020, 0.656, 0.051, 2.531, -1.559, 0.013
0.030, 0.656, 0.075, 2.512, -1.552, 0.019
0.041, 0.657, 0.098, 2.493, -1.546, 0.025
0.051, 0.655, 0.120, 2.474, -1.540, 0.030
0.061, 0.649, 0.141, 2.456, -1.533, 0.035
0.071, 0.641, 0.160, 2.438, -1.526, 0.040
0.081, 0.632, 0.178, 2.420, -1.519, 0.045
0.091, 0.623, 0.196, 2.403, -1.512, 0.049
0.101, 0.614, 0.212, 2.387, -1.505, 0.053
0.111, 0.605, 0.227, 2.370, -1.497, 0.057
0.121, 0.598, 0.241, 2.354, -1.489, 0.061
0.131, 0.592, 0.254, 2.338, -1.481, 0.065
0.142, 0.587, 0.266, 2.322, -1.474, 0.068
0.152, 0.584, 0.277, 2.307, -1.465, 0.071
0.162, 0.582, 0.288, 2.291, -1.457, 0.074
0.172, 0.580, 0.298, 2.276, -1.449, 0.077
0.182, 0.578, 0.308, 2.261, -1.441, 0.080
0.193, 0.574, 0.317, 2.247, -1.433, 0.082
0.203, 0.570, 0.325, 2.232, -1.425, 0.085
0.213, 0.566, 0.332, 2.218, -1.416, 0.087
0.223, 0.562, 0.339, 2.204, -1.408, 0.090
0.233, 0.557, 0.345, 2.191, -1.399, 0.092
0.243, 0.553, 0.350, 2.177, -1.390, 0.094
0.253, 0.550, 0.355, 2.164, -1.381, 0.096
0.264, 0.546, 0.360, 2.151, -1.372, 0.098
0.274, 0.544, 0.364, 2.138, -1.363, 0.100
0.284, 0.541, 0.367, 2.125, -1.354, 0.102
0.294, 0.539, 0.370, 2.112, -1.345, 0.103
0.305, 0.537, 0.373, 2.100, -1.336, 0.105
0.315, 0.535, 0.375, 2.087, -1.327, 0.107
0.325, 0.534, 0.378, 2.075, -1.319, 0.108
0.335, 0.534, 0.379, 2.062, -1.310, 0.110
0.345, 0.534, 0.381, 2.049, -1.302, 0.111
0.356, 0.534, 0.383, 2.036, -1.294, 0.113
0.366, 0.535, 0.384, 2.023, -1.286, 0.115
0.377, 0.536, 0.385, 2.009, -1.279, 0.116
0.387, 0.538, 0.387, 1.996, -1.271, 0.118
0.397, 0.540, 0.388, 1.982, -1.265, 0.119
0.407, 0.542, 0.389, 1.969, -1.259, 0.121
0.418, 0.545, 0.391, 1.955, -1.253, 0.122
0.428, 0.549, 0.392, 1.940, -1.247, 0.124
0.438, 0.553, 0.394, 1.925, -1.242, 0.126
0.448, 0.557, 0.395, 1.910, -1.238, 0.127
0.458, 0.561, 0.397, 1.895, -1.233, 0.129
0.469, 0.565, 0.399, 1.879, -1.229, 0.131
0.479, 0.568, 0.401, 1.864, -1.226, 0.132
0.489, 0.570, 0.404, 1.848, -1.223, 0.134
0.499, 0.572, 0.406, 1.833, -1.219, 0.136
0.509, 0.573, 0.408, 1.818, -1.216, 0.138
0.519, 0.574, 0.409, 1.803, -1.213, 0.139
0.529, 0.574, 0.411, 1.788, -1.210, 0.141
