t, thetas, theta_hats, omegas, gait_phase, offsets
0.010, 0.016, 0.001, 2.551, -1.565, 0.000
0.020, 0.015, 0.001, 2.532, -1.558, 0.000
0.030, 0.013, 0.002, 2.514, -1.550, 0.000
0.041, 0.007, 0.002, 2.503, -1.536, 0.000
0.051, -0.002, 0.002, 2.517, -1.496, 0.000
0.061, -0.010, 0.001, 2.676, -1.312, 0.000
0.071, -0.017, -0.000, 4.040, 0.085, 0.000
0.081, -0.022, -0.001, 5.254, 1.347, -0.000
0.091, -0.025, -0.002, 5.395, 1.542, -0.000
0.101, -0.022, -0.003, 5.394, 1.596, -0.000
0.111, -0.013, -0.004, 5.378, 1.635, -0.001
0.121, -0.000, -0.003, 5.389, 1.700, -0.001
0.131, 0.014, -0.002, 5.529, 1.895, -0.000
0.142, 0.027, 0.001, 6.273, 2.699, -0.000
0.152, 0.036, 0.003, 7.557, -2.229, 0.000
0.162, 0.043, 0.005, 7.978, -1.726, 0.001
0.172, 0.044, 0.006, 8.042, -1.582, 0.001
0.182, 0.041, 0.007, 8.027, -1.515, 0.001
0.193, 0.033, 0.008, 7.996, -1.465, 0.002
0.203, 0.023, 0.009, 7.969, -1.412, 0.002
0.213, 0.013, 0.008, 7.956, -1.344, 0.002
0.223, 0.005, 0.007, 7.966, -1.253, 0.002
0.233, -0.003, 0.006, 8.012, -1.126, 0.002
0.243, -0.009, 0.003, 8.107, -0.949, 0.002
0.253, -0.014, 0.001, 8.261, -0.712, 0.001
0.264, -0.020, -0.002, 8.490, -0.398, 0.001
0.274, -0.025, -0.004, 8.797, -0.000, 0.001
0.284, -0.031, -0.006, 9.122, 0.416, 0.001
0.294, -0.036, -0.008, 9.414, 0.803, 0.000
0.305, -0.042, -0.009, 9.627, 1.115, 0.000
0.315, -0.047, -0.010, 9.749, 1.335, -0.000
0.325, -0.051, -0.011, 9.805, 1.489, -0.001
0.335, -0.053, -0.012, 9.813, 1.597, -0.001
0.345, -0.055, -0.013, 9.792, 1.676, -0.002
0.356, -0.058, -0.014, 9.749, 1.736, -0.002
0.366, -0.061, -0.015, 9.693, 1.780, -0.002
0.377, -0.066, -0.017, 9.624, 1.813, -0.003
0.387, -0.071, -0.018, 9.548, 1.835, -0.004
0.397, -0.078, -0.019, 9.466, 1.850, -0.004
0.407, -0.085, -0.021, 9.380, 1.859, -0.005
0.418, -0.092, -0.023, 9.289, 1.863, -0.006
0.428, -0.102, -0.025, 9.192, 1.864, -0.006
0.438, -0.112, -0.028, 9.097, 1.861, -0.007
0.448, -0.124, -0.031, 9.001, 1.857, -0.008
0.458, -0.134, -0.034, 8.906, 1.853, -0.009
0.469, -0.151, -0.038, 8.806, 1.846, -0.010
0.479, -0.157, -0.041, 8.717, 1.845, -0.012
0.489, -0.161, -0.045, 8.634, 1.849, -0.013
0.499, -0.164, -0.048, 8.554, 1.856, -0.014
0.509, -0.168, -0.051, 8.477, 1.865, -0.015
0.519, -0.172, -0.054, 8.402, 1.874, -0.016
0.529, -0.175, -0.056, 8.328, 1.885, -0.018
0.539, -0.179, -0.059, 8.255, 1.895, -0.019
0.550, -0.182, -0.061, 8.182, 1.905, -0.020
0.560, -0.185, -0.063, 8.108, 1.916, -0.021
0.570, -0.189, -0.065, 8.037, 1.925, -0.023
0.580, -0.193, -0.068, 7.965, 1.935, -0.024
0.590, -0.197, -0.070, 7.893, 1.943, -0.025
0.601, -0.198, -0.071, 7.818, 1.953, -0.027
0.611, -0.198, -0.073, 7.749, 1.963, -0.028
0.621, -0.195, -0.074, 7.682, 1.975, -0.029
0.632, -0.188, -0.075, 7.616, 1.990, -0.030
0.642, -0.179, -0.074, 7.559, 2.009, -0.031
0.652, -0.165, -0.073, 7.506, 2.033, -0.032
0.662, -0.147, -0.070, 7.461, 2.063, -0.033
0.672, -0.125, -0.067, 7.426, 2.102, -0.034
0.682, -0.103, -0.061, 7.399, 2.151, -0.034
0.693, -0.099, -0.057, 7.370, 2.197, -0.034
0.703, -0.106, -0.053, 7.330, 2.232, -0.035
0.713, -0.120, -0.052, 7.275, 2.252, -0.036
0.723, -0.137, -0.052, 7.206, 2.257, -0.036
0.734, -0.152, -0.055, 7.124, 2.250, -0.037
0.744, -0.161, -0.058, 7.038, 2.237, -0.039
0.755, -0.164, -0.063, 6.952, 2.226, -0.040
0.765, -0.163, -0.067, 6.876, 2.219, -0.041
0.775, -0.157, -0.070, 6.807, 2.220, -0.042
0.785, -0.149, -0.073, 6.748, 2.229, -0.042
0.796, -0.139, -0.075, 6.695, 2.247, -0.043
0.806, -0.127, -0.075, 6.653, 2.273, -0.044
0.816, -0.115, -0.074, 6.620, 2.308, -0.044
0.826, -0.103, -0.072, 6.594, 2.350, -0.044
0.836, -0.092, -0.069, 6.575, 2.397, -0.044
0.846, -0.084, -0.066, 6.560, 2.448, -0.045
0.857, -0.077, -0.061, 6.547, 2.501, -0.045
0.867, -0.071, -0.057, 6.533, 2.559, -0.045
0.878, -0.066, -0.052, 6.520, 2.615, -0.045
0.889, -0.057, -0.047, 6.511, 2.675, -0.045
0.899, -0.052, -0.042, 6.503, 2.732, -0.045
0.909, -0.048, -0.037, 6.493, 2.788, -0.045
0.919, -0.044, -0.033, 6.482, 2.843, -0.045
0.929, -0.040, -0.028, 6.470, 2.899, -0.045
0.940, -0.038, -0.025, 6.457, 2.951, -0.046
0.950, -0.038, -0.022, 6.439, 2.998, -0.046
0.960, -0.041, -0.021, 6.415, 3.039, -0.046
