t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, -2.618, 0.000, 0.001, -3.142, 0.000
0.010, -2.677, -0.106, 0.001, 1.567, -0.026
0.020, -2.731, -0.210, 0.004, 1.570, -0.053
0.030, -2.742, -0.311, 0.005, 1.571, -0.078
0.040, -2.751, -0.407, 0.005, 1.571, -0.102
0.051, -2.760, -0.500, 0.005, 1.571, -0.125
0.061, -2.926, -0.600, 0.005, 1.571, -0.150
0.071, -2.974, -0.694, 0.004, 1.571, -0.174
0.081, -3.021, -0.786, 0.004, 1.571, -0.197
0.091, -3.068, -0.876, 0.004, 1.571, -0.219
0.101, -3.131, -0.966, 0.004, 1.571, -0.241
0.112, 3.116, -0.804, 0.004, 1.571, -0.201
0.122, 3.100, -0.649, 0.005, 1.571, -0.162
0.132, 2.991, -0.498, 0.006, 1.572, -0.124
0.142, 2.937, -0.362, 0.009, 1.575, -0.090
0.152, 2.886, -0.233, 0.024, 1.591, -0.058
0.163, 2.837, -0.103, 0.237, 1.805, -0.028
0.173, 2.792, 0.098, 2.711, -1.990, 0.000
0.183, 2.751, 0.205, 3.053, -1.618, 0.026
0.193, 2.717, 0.305, 3.074, -1.567, 0.051
0.203, 2.713, 0.399, 3.062, -1.548, 0.075
0.213, 2.711, 0.491, 3.043, -1.535, 0.098
0.223, 2.657, 0.575, 3.022, -1.525, 0.120
0.233, 2.659, 0.656, 3.001, -1.516, 0.140
0.244, 2.655, 0.737, 2.979, -1.507, 0.161
0.254, 2.661, 0.811, 2.957, -1.498, 0.180
0.265, 2.675, 0.885, 2.935, -1.489, 0.200
0.275, 2.694, 0.952, 2.913, -1.481, 0.218
0.285, 2.713, 1.017, 2.892, -1.473, 0.235
0.295, 2.739, 1.080, 2.871, -1.465, 0.252
0.305, 2.765, 1.140, 2.850, -1.457, 0.269
0.316, 2.797, 1.201, 2.828, -1.449, 0.286
0.326, 2.836, 1.258, 2.808, -1.441, 0.302
0.336, 2.881, 1.313, 2.787, -1.434, 0.318
0.346, 2.929, 1.368, 2.766, -1.427, 0.334
0.356, 2.977, 1.422, 2.744, -1.420, 0.350
0.366, 3.022, 1.475, 2.723, -1.414, 0.366
0.376, 3.062, 1.526, 2.703, -1.407, 0.382
0.386, 3.098, 1.576, 2.682, -1.401, 0.397
0.396, 3.126, 1.625, 2.661, -1.395, 0.413
0.406, -3.133, 1.333, 2.746, -1.283, 0.366
0.416, -3.111, 0.981, 2.881, -1.119, 0.323
0.427, -3.094, 0.577, 3.076, -0.894, 0.284
0.437, -3.078, 0.175, 3.324, -0.614, 0.249
0.447, -3.065, -0.170, 3.592, -0.311, 0.218
0.457, -3.052, -0.447, 3.850, -0.016, 0.190
0.467, -3.039, -0.665, 4.076, 0.251, 0.165
0.478, -3.007, -0.842, 4.269, 0.488, 0.141
0.488, -3.007, -0.979, 4.419, 0.683, 0.120
0.498, -2.991, -1.085, 4.534, 0.843, 0.100
0.508, -2.977, -1.169, 4.622, 0.977, 0.081
0.519, -2.955, -1.237, 4.692, 1.096, 0.063
0.529, -2.944, -1.287, 4.742, 1.195, 0.046
0.539, -2.932, -1.324, 4.779, 1.280, 0.029
0.550, -2.922, -1.351, 4.807, 1.360, 0.012
0.561, -2.912, -1.369, 4.826, 1.432, -0.005
0.571, -2.903, -1.376, 4.837, 1.492, -0.020
0.581, -2.895, -1.377, 4.842, 1.545, -0.036
0.591, -2.889, -1.372, 4.842, 1.594, -0.051
0.602, -2.885, -1.362, 4.837, 1.640, -0.067
0.612, -2.879, -1.349, 4.829, 1.682, -0.082
0.622, -2.872, -1.332, 4.818, 1.719, -0.098
0.632, -2.866, -1.314, 4.804, 1.753, -0.113
0.642, -2.859, -1.293, 4.787, 1.785, -0.129
0.652, -2.851, -1.271, 4.768, 1.814, -0.145
0.662, -2.842, -1.248, 4.747, 1.841, -0.161
0.672, -2.834, -1.225, 4.723, 1.865, -0.177
0.682, -2.824, -1.202, 4.698, 1.888, -0.193
0.693, -2.814, -1.178, 4.672, 1.908, -0.210
0.703, -2.803, -1.155, 4.644, 1.927, -0.226
0.713, -2.791, -1.133, 4.615, 1.945, -0.243
0.723, -2.778, -1.111, 4.584, 1.961, -0.259
0.733, -2.765, -1.090, 4.552, 1.976, -0.277
0.743, -2.752, -1.070, 4.520, 1.989, -0.294
0.753, -2.738, -1.052, 4.487, 2.002, -0.311
0.763, -2.724, -1.036, 4.453, 2.013, -0.327
0.774, -2.710, -1.020, 4.418, 2.024, -0.345
0.784, -2.697, -1.007, 4.384, 2.033, -0.362
0.794, -2.684, -0.996, 4.346, 2.043, -0.379
0.804, -2.670, -0.987, 4.311, 2.051, -0.396
0.815, -2.657, -0.981, 4.275, 2.058, -0.414
0.825, -2.643, -0.978, 4.239, 2.065, -0.430
0.835, -2.629, -0.978, 4.202, 2.072, -0.447
0.846, -2.614, -0.982, 4.165, 2.079, -0.464
0.856, -2.600, -0.989, 4.128, 2.085, -0.481
0.868, -2.569, -1.003, 4.085, 2.092, -0.501
0.878, -2.553, -1.019, 4.050, 2.099, -0.516
0.889, -2.536, -1.041, 4.013, 2.105, -0.532
0.900, -2.519, -1.068, 3.978, 2.112, -0.548
0.910, -2.504, -1.099, 3.944, 2.119, -0.562
0.920, -2.485, -1.135, 3.911, 2.126, -0.576
0.930, -2.466, -1.174, 3.880, 2.134, -0.590
0.941, -2.444, -1.217, 3.848, 2.143, -0.603
0.951, -2.420, -1.261, 3.819, 2.153, -0.615
0.961, -2.392, -1.304, 3.791, 2.164, -0.626
0.971, -2.362, -1.347, 3.765, 2.176, -0.637
0.982, -2.318, -1.387, 3.740, 2.190, -0.647
0.992, -2.282, -1.422, 3.717, 2.205, -0.655
1.002, -2.244, -1.451, 3.695, 2.221, -0.664
1.012, -2.202, -1.475, 3.675, 2.238, -0.671
1.022, -2.158, -1.492, 3.656, 2.256, -0.678
1.032, -2.109, -1.501, 3.639, 2.276, -0.684
1.042, -2.056, -1.503, 3.623, 2.296, -0.690
1.052, -1.999, -1.497, 3.609, 2.318, -0.695
1.062, -1.934, -1.483, 3.595, 2.341, -0.699
1.073, -1.865, -1.460, 3.583, 2.365, -0.703
1.083, -1.793, -1.431, 3.572, 2.390, -0.707
1.093, -1.717, -1.394, 3.562, 2.417, -0.710
1.103, -1.636, -1.350, 3.554, 2.444, -0.712
1.113, -1.555, -1.300, 3.546, 2.472, -0.715
1.123, -1.475, -1.244, 3.539, 2.501, -0.717
1.133, -1.403, -1.184, 3.532, 2.529, -0.719
1.143, -1.341, -1.121, 3.526, 2.558, -0.721
1.153, -1.285, -1.056, 3.518, 2.587, -0.723
1.163, -1.232, -0.990, 3.511, 2.614, -0.725
1.173, -1.183, -0.923, 3.502, 2.641, -0.727
1.183, -1.136, -0.857, 3.493, 2.667, -0.729
1.194, -1.096, -0.791, 3.482, 2.692, -0.732
1.204, -1.083, -0.730, 3.470, 2.714, -0.735
1.214, -1.092, -0.673, 3.454, 2.734, -0.739
1.224, -1.110, -0.623, 3.436, 2.750, -0.744
1.234, -1.131, -0.579, 3.415, 2.764, -0.749
1.244, -1.153, -0.541, 3.390, 2.775, -0.756
1.255, -1.177, -0.511, 3.363, 2.782, -0.762
1.265, -1.203, -0.489, 3.335, 2.788, -0.769
1.275, -1.233, -0.474, 3.304, 2.791, -0.777
1.285, -1.269, -0.467, 3.272, 2.791, -0.785
1.295, -1.312, -0.468, 3.237, 2.790, -0.794
1.306, -1.361, -0.478, 3.199, 2.786, -0.803
1.316, -1.415, -0.496, 3.160, 2.780, -0.813
1.327, -1.474, -0.524, 3.118, 2.772, -0.823
1.337, -1.537, -0.559, 3.078, 2.763, -0.833
1.347, -1.604, -0.602, 3.036, 2.752, -0.843
1.357, -1.674, -0.653, 2.993, 2.740, -0.854
1.368, -1.797, -0.719, 2.946, 2.724, -0.866
1.378, -1.876, -0.788, 2.901, 2.709, -0.877
1.388, -1.957, -0.863, 2.856, 2.692, -0.889
1.398, -2.038, -0.943, 2.810, 2.676, -0.900
1.409, -2.121, -1.032, 2.763, 2.658, -0.912
1.419, -2.205, -1.118, 2.719, 2.641, -0.924
1.429, -2.290, -1.207, 2.675, 2.625, -0.935
1.439, -2.377, -1.297, 2.631, 2.608, -0.946
1.449, -2.467, -1.387, 2.588, 2.592, -0.958
1.459, -2.558, -1.478, 2.546, 2.575, -0.969
1.469, -2.650, -1.568, 2.504, 2.558, -0.980
1.479, -2.741, -1.656, 2.462, 2.542, -0.992
1.490, -2.829, -1.746, 2.420, 2.525, -1.004
1.500, -2.914, -1.830, 2.379, 2.509, -1.015
1.510, -2.993, -1.912, 2.338, 2.492, -1.027
1.521, -3.069, -1.989, 2.299, 2.477, -1.038
1.531, -3.140, -2.063, 2.261, 2.461, -1.049
1.541, 3.075, -1.617, 2.450, 2.675, -0.998
1.551, 3.010, -1.199, 2.633, 2.884, -0.953
1.561, 2.949, -0.810, 2.806, 3.084, -0.913
1.571, 2.891, -0.465, 2.961, -3.015, -0.877
1.582, 2.838, -0.168, 3.095, -2.850, -0.845
1.592, 2.791, 0.094, 3.214, -2.698, -0.815
1.602, 2.758, 0.300, 3.308, -2.570, -0.790
1.612, 2.736, 0.470, 3.388, -2.457, -0.766
1.622, 2.724, 0.611, 3.454, -2.356, -0.744
1.632, 2.720, 0.725, 3.511, -2.265, -0.723
1.643, 2.723, 0.819, 3.558, -2.182, -0.704
1.653, 2.729, 0.893, 3.599, -2.105, -0.685
1.663, 2.737, 0.953, 3.633, -2.035, -0.667
1.673, 2.746, 0.998, 3.662, -1.969, -0.649
1.683, 2.756, 1.033, 3.686, -1.908, -0.631
1.693, 2.775, 1.058, 3.706, -1.851, -0.614
1.703, 2.797, 1.075, 3.722, -1.797, -0.596
1.713, 2.823, 1.087, 3.735, -1.746, -0.579
1.723, 2.834, 1.092, 3.745, -1.699, -0.561
1.733, 2.856, 1.093, 3.752, -1.654, -0.544
1.743, 2.881, 1.091, 3.756, -1.612, -0.526
1.753, 2.912, 1.088, 3.757, -1.573, -0.507
1.764, 2.946, 1.083, 3.756, -1.536, -0.488
1.774, 2.982, 1.078, 3.753, -1.502, -0.469
