t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, 1.866, 0.000, 0.001, -3.142, 0.000
0.010, 1.861, 0.074, 1.560, -1.567, 0.018
0.020, 1.853, 0.144, 1.548, -1.563, 0.036
0.030, 1.840, 0.211, 1.536, -1.560, 0.053
0.040, 1.825, 0.275, 1.524, -1.556, 0.069
0.051, 1.808, 0.336, 1.513, -1.552, 0.084
0.061, 1.784, 0.395, 1.501, -1.547, 0.099
0.071, 1.785, 0.450, 1.490, -1.543, 0.113
0.081, 1.783, 0.502, 1.480, -1.539, 0.126
0.091, 1.784, 0.553, 1.469, -1.535, 0.139
0.101, 1.792, 0.601, 1.458, -1.531, 0.151
0.112, 1.797, 0.648, 1.447, -1.527, 0.163
0.122, 1.801, 0.693, 1.437, -1.523, 0.174
0.132, 1.808, 0.738, 1.426, -1.518, 0.186
0.142, 1.812, 0.780, 1.416, -1.514, 0.196
0.152, 1.821, 0.820, 1.406, -1.510, 0.207
0.163, 1.836, 0.859, 1.396, -1.506, 0.217
0.173, 1.854, 0.897, 1.386, -1.502, 0.227
0.183, 1.869, 0.934, 1.376, -1.498, 0.236
0.193, 1.876, 0.969, 1.366, -1.493, 0.246
0.203, 1.868, 1.003, 1.357, -1.489, 0.254
0.213, 1.825, 1.033, 1.348, -1.484, 0.263
0.223, 1.755, 1.059, 1.340, -1.479, 0.270
0.233, 1.674, 1.081, 1.333, -1.472, 0.276
0.244, 1.594, 1.099, 1.326, -1.465, 0.281
0.254, 1.515, 1.111, 1.321, -1.457, 0.285
0.265, 1.241, 1.111, 1.319, -1.445, 0.287
0.275, 1.150, 1.106, 1.318, -1.432, 0.287
0.285, 1.091, 1.098, 1.319, -1.418, 0.287
0.295, 1.098, 1.090, 1.318, -1.405, 0.287
0.305, 1.195, 1.086, 1.316, -1.394, 0.288
0.316, 1.391, 1.092, 1.310, -1.387, 0.291
0.326, 1.612, 1.109, 1.299, -1.385, 0.297
0.336, 1.724, 1.130, 1.286, -1.384, 0.303
0.346, 1.712, 1.149, 1.274, -1.383, 0.308
0.356, 1.668, 1.165, 1.264, -1.381, 0.314
0.366, 1.698, 1.182, 1.253, -1.379, 0.319
0.376, 1.788, 1.202, 1.241, -1.378, 0.325
0.386, 1.903, 1.228, 1.228, -1.380, 0.332
0.396, 1.994, 1.256, 1.213, -1.382, 0.339
0.406, 2.054, 1.286, 1.199, -1.384, 0.347
0.416, 2.084, 1.315, 1.184, -1.386, 0.355
0.427, 2.068, 1.342, 1.171, -1.387, 0.363
0.437, 1.940, 1.362, 1.161, -1.386, 0.369
0.447, 1.638, 1.365, 1.156, -1.379, 0.371
0.457, 1.164, 1.344, 1.160, -1.364, 0.370
0.467, 0.716, 1.299, 1.172, -1.340, 0.363
0.478, 0.451, 1.235, 1.192, -1.307, 0.355
0.488, 0.307, 1.163, 1.217, -1.270, 0.346
0.498, 0.223, 1.086, 1.245, -1.229, 0.337
0.508, 0.174, 1.005, 1.277, -1.184, 0.328
0.519, 0.149, 0.919, 1.313, -1.135, 0.319
0.529, 0.145, 0.837, 1.347, -1.087, 0.312
0.539, 0.149, 0.759, 1.381, -1.040, 0.305
0.550, 0.156, 0.680, 1.415, -0.991, 0.299
0.561, 0.154, 0.604, 1.448, -0.942, 0.294
0.571, 0.136, 0.538, 1.476, -0.898, 0.289
0.581, 0.103, 0.474, 1.505, -0.855, 0.285
0.591, 0.062, 0.412, 1.533, -0.812, 0.281
0.602, 0.024, 0.350, 1.561, -0.767, 0.278
0.612, -0.005, 0.291, 1.588, -0.724, 0.274
0.622, -0.026, 0.238, 1.612, -0.684, 0.271
0.632, -0.039, 0.188, 1.634, -0.646, 0.269
0.642, -0.047, 0.143, 1.653, -0.610, 0.267
0.652, -0.052, 0.102, 1.669, -0.578, 0.265
