t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, -2.525, 0.000, 0.001, -3.142, 0.000
0.010, -2.516, -0.101, 0.001, 1.567, -0.025
0.020, -2.509, -0.196, 0.004, 1.570, -0.049
0.030, -2.505, -0.288, 0.005, 1.571, -0.072
0.040, -2.505, -0.375, 0.005, 1.571, -0.094
0.051, -2.510, -0.459, 0.005, 1.571, -0.115
0.061, -2.519, -0.541, 0.005, 1.571, -0.135
0.071, -2.531, -0.620, 0.005, 1.571, -0.155
0.081, -2.546, -0.696, 0.005, 1.571, -0.174
0.091, -2.561, -0.770, 0.004, 1.571, -0.193
0.101, -2.575, -0.842, 0.004, 1.571, -0.210
0.111, -2.586, -0.911, 0.004, 1.571, -0.228
0.122, -2.611, -0.982, 0.004, 1.571, -0.245
0.132, -2.616, -1.047, 0.004, 1.571, -0.262
0.142, -2.621, -1.109, 0.004, 1.571, -0.277
0.152, -2.628, -1.169, 0.004, 1.571, -0.292
0.163, -2.628, -1.230, 0.004, 1.571, -0.307
0.173, -2.621, -1.285, 0.004, 1.571, -0.321
0.183, -2.620, -1.338, 0.004, 1.571, -0.334
0.193, -2.635, -1.389, 0.004, 1.571, -0.347
0.203, -2.662, -1.439, 0.004, 1.571, -0.360
0.213, -2.697, -1.489, 0.004, 1.571, -0.372
0.223, -2.735, -1.538, 0.004, 1.571, -0.385
0.234, -2.802, -1.591, 0.004, 1.571, -0.398
0.244, -2.825, -1.640, 0.004, 1.571, -0.410
0.254, -2.843, -1.688, 0.004, 1.571, -0.422
0.264, -2.858, -1.734, 0.004, 1.571, -0.434
0.275, -2.870, -1.781, 0.004, 1.571, -0.445
0.285, -2.883, -1.825, 0.004, 1.571, -0.456
0.295, -2.898, -1.867, 0.004, 1.571, -0.467
0.305, -2.916, -1.909, 0.004, 1.571, -0.477
0.316, -2.937, -1.952, 0.004, 1.571, -0.488
0.326, -2.960, -1.992, 0.004, 1.571, -0.498
0.336, -2.982, -2.031, 0.004, 1.571, -0.508
0.346, -3.003, -2.069, 0.004, 1.571, -0.517
0.357, -3.022, -2.109, 0.004, 1.571, -0.527
0.367, -3.040, -2.146, 0.004, 1.571, -0.537
0.377, -3.056, -2.182, 0.004, 1.571, -0.546
0.387, -3.073, -2.218, 0.004, 1.571, -0.554
0.398, -3.091, -2.254, 0.004, 1.571, -0.563
0.408, -3.109, -2.288, 0.004, 1.571, -0.572
0.418, -3.129, -2.321, 0.004, 1.571, -0.580
0.429, 3.134, -2.095, 0.004, 1.572, -0.524
0.439, 3.114, -1.889, 0.004, 1.572, -0.472
0.449, 3.097, -1.692, 0.005, 1.572, -0.423
0.459, 3.080, -1.499, 0.005, 1.573, -0.375
0.470, 3.063, -1.310, 0.007, 1.575, -0.327
0.480, 3.046, -1.138, 0.009, 1.577, -0.284
0.490, 3.029, -0.973, 0.014, 1.582, -0.243
0.500, 3.012, -0.815, 0.023, 1.591, -0.204
0.510, 2.994, -0.664, 0.043, 1.612, -0.166
0.520, 2.981, -0.515, 0.095, 1.664, -0.130
0.530, 2.963, -0.348, 0.260, 1.831, -0.096
0.540, 2.945, -0.089, 0.844, 2.420, -0.064
0.550, 2.928, 0.165, 1.938, -2.755, -0.035
0.561, 2.913, 0.313, 2.584, -2.086, -0.008
0.571, 2.897, 0.424, 2.828, -1.815, 0.018
0.581, 2.882, 0.524, 2.924, -1.690, 0.042
0.591, 2.867, 0.616, 2.961, -1.622, 0.065
0.601, 2.852, 0.705, 2.973, -1.580, 0.088
0.611, 2.834, 0.787, 2.971, -1.552, 0.109
0.622, 2.814, 0.863, 2.962, -1.530, 0.129
0.632, 2.787, 0.937, 2.950, -1.512, 0.149
0.642, 2.766, 1.006, 2.935, -1.496, 0.168
0.652, 2.746, 1.068, 2.919, -1.483, 0.185
0.663, 2.726, 1.126, 2.902, -1.470, 0.201
0.673, 2.706, 1.180, 2.885, -1.458, 0.217
0.683, 2.686, 1.230, 2.868, -1.446, 0.232
0.693, 2.665, 1.276, 2.850, -1.435, 0.246
0.703, 2.643, 1.318, 2.833, -1.423, 0.260
0.713, 2.621, 1.356, 2.815, -1.412, 0.273
0.723, 2.600, 1.391, 2.798, -1.401, 0.285
0.733, 2.573, 1.421, 2.781, -1.390, 0.297
0.744, 2.554, 1.450, 2.763, -1.378, 0.309
0.754, 2.534, 1.474, 2.747, -1.367, 0.320
0.764, 2.514, 1.495, 2.730, -1.356, 0.330
0.774, 2.494, 1.513, 2.714, -1.345, 0.340
0.784, 2.475, 1.529, 2.697, -1.334, 0.350
0.794, 2.456, 1.541, 2.681, -1.323, 0.359
0.805, 2.435, 1.551, 2.665, -1.312, 0.368
0.815, 2.419, 1.559, 2.649, -1.301, 0.377
0.825, 2.403, 1.564, 2.633, -1.290, 0.385
0.835, 2.385, 1.568, 2.616, -1.279, 0.394
0.846, 2.371, 1.570, 2.601, -1.269, 0.402
0.856, 2.360, 1.570, 2.584, -1.258, 0.410
0.866, 2.351, 1.570, 2.568, -1.248, 0.418
0.876, 2.342, 1.568, 2.551, -1.238, 0.426
0.886, 2.335, 1.566, 2.535, -1.229, 0.434
0.897, 2.331, 1.563, 2.518, -1.220, 0.442
0.907, 2.331, 1.560, 2.500, -1.211, 0.450
0.917, 2.333, 1.557, 2.483, -1.204, 0.458
0.927, 2.338, 1.554, 2.465, -1.196, 0.466
0.938, 2.354, 1.553, 2.447, -1.189, 0.474
0.948, 2.369, 1.552, 2.428, -1.183, 0.482
0.958, 2.382, 1.553, 2.409, -1.178, 0.491
0.968, 2.394, 1.555, 2.389, -1.173, 0.499
0.979, 2.409, 1.557, 2.369, -1.168, 0.508
0.989, 2.430, 1.561, 2.349, -1.164, 0.517
0.999, 2.459, 1.567, 2.328, -1.161, 0.526
1.009, 2.493, 1.575, 2.307, -1.159, 0.535
1.019, 2.531, 1.585, 2.285, -1.158, 0.545
1.029, 2.578, 1.599, 2.263, -1.157, 0.555
1.039, 2.633, 1.615, 2.240, -1.157, 0.565
1.050, 2.694, 1.635, 2.216, -1.159, 0.576
1.060, 2.758, 1.659, 2.192, -1.161, 0.587
1.070, 2.822, 1.685, 2.167, -1.164, 0.599
1.080, 2.890, 1.716, 2.142, -1.167, 0.611
1.090, 2.959, 1.748, 2.116, -1.171, 0.624
1.100, 3.025, 1.783, 2.091, -1.175, 0.636
1.110, 3.085, 1.820, 2.065, -1.180, 0.649
1.120, -3.140, 1.368, 2.174, -1.049, 0.601
1.131, -3.080, 0.917, 2.304, -0.896, 0.558
1.141, -3.021, 0.504, 2.444, -0.732, 0.520
1.151, -2.964, 0.127, 2.591, -0.560, 0.486
1.161, -2.908, -0.193, 2.729, -0.394, 0.457
1.171, -2.854, -0.465, 2.857, -0.238, 0.432
1.182, -2.803, -0.697, 2.973, -0.093, 0.409
1.192, -2.756, -0.892, 3.075, 0.040, 0.389
1.202, -2.668, -1.057, 3.163, 0.161, 0.372
1.212, -2.634, -1.189, 3.237, 0.267, 0.356
1.222, -2.621, -1.299, 3.301, 0.364, 0.343
1.233, -2.584, -1.392, 3.360, 0.458, 0.329
1.243, -2.567, -1.462, 3.407, 0.540, 0.318
1.254, -2.566, -1.517, 3.451, 0.619, 0.307
1.264, -2.541, -1.555, 3.488, 0.691, 0.297
1.274, -2.530, -1.580, 3.521, 0.760, 0.287
1.284, -2.519, -1.593, 3.551, 0.826, 0.277
1.294, -2.508, -1.595, 3.578, 0.889, 0.268
1.305, -2.494, -1.586, 3.604, 0.953, 0.259
1.315, -2.482, -1.569, 3.626, 1.011, 0.249
1.325, -2.472, -1.544, 3.646, 1.068, 0.240
1.335, -2.465, -1.513, 3.665, 1.124, 0.231
1.345, -2.462, -1.478, 3.682, 1.178, 0.221
1.355, -2.464, -1.438, 3.697, 1.231, 0.211
1.366, -2.468, -1.395, 3.712, 1.284, 0.200
1.376, -2.473, -1.352, 3.723, 1.334, 0.189
1.386, -2.478, -1.307, 3.734, 1.382, 0.177
1.397, -2.484, -1.261, 3.742, 1.430, 0.164
1.407, -2.491, -1.217, 3.748, 1.474, 0.151
1.417, -2.500, -1.174, 3.752, 1.516, 0.138
1.427, -2.513, -1.133, 3.754, 1.556, 0.125
1.438, -2.528, -1.093, 3.754, 1.595, 0.109
1.448, -2.542, -1.057, 3.751, 1.631, 0.095
1.458, -2.564, -1.024, 3.747, 1.664, 0.079
1.468, -2.586, -0.993, 3.740, 1.696, 0.063
1.478, -2.610, -0.967, 3.731, 1.725, 0.046
1.488, -2.630, -0.945, 3.720, 1.752, 0.029
1.499, -2.645, -0.926, 3.708, 1.777, 0.012
1.509, -2.656, -0.910, 3.694, 1.801, -0.005
1.519, -2.694, -0.898, 3.678, 1.822, -0.024
1.529, -2.713, -0.890, 3.661, 1.841, -0.042
1.539, -2.744, -0.887, 3.642, 1.859, -0.061
