t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, 0.544, 0.000, 0.001, -3.142, 0.000
0.010, 0.560, 0.022, 1.560, -1.567, 0.006
0.020, 0.577, 0.044, 1.547, -1.563, 0.011
0.030, 0.596, 0.066, 1.535, -1.560, 0.017
0.040, 0.618, 0.088, 1.524, -1.556, 0.022
0.051, 0.641, 0.110, 1.512, -1.553, 0.027
0.061, 0.665, 0.132, 1.500, -1.550, 0.033
0.071, 0.689, 0.154, 1.488, -1.546, 0.038
0.081, 0.716, 0.176, 1.476, -1.543, 0.044
0.091, 0.743, 0.198, 1.465, -1.540, 0.050
0.101, 0.770, 0.221, 1.453, -1.537, 0.055
0.111, 0.801, 0.244, 1.441, -1.534, 0.061
0.122, 0.837, 0.268, 1.429, -1.531, 0.067
0.132, 0.875, 0.292, 1.417, -1.528, 0.073
0.142, 0.915, 0.316, 1.405, -1.526, 0.080
0.152, 0.961, 0.342, 1.393, -1.524, 0.086
0.163, 1.014, 0.369, 1.381, -1.521, 0.093
0.173, 1.070, 0.397, 1.369, -1.520, 0.100
0.183, 1.130, 0.425, 1.357, -1.518, 0.107
0.193, 1.197, 0.455, 1.344, -1.517, 0.115
0.203, 1.266, 0.487, 1.332, -1.516, 0.123
0.213, 1.331, 0.520, 1.320, -1.514, 0.131
0.223, 1.398, 0.554, 1.308, -1.513, 0.140
0.234, 1.473, 0.592, 1.295, -1.512, 0.149
0.244, 1.553, 0.629, 1.283, -1.511, 0.159
0.254, 1.631, 0.669, 1.270, -1.511, 0.169
0.264, 1.704, 0.709, 1.258, -1.510, 0.179
0.275, 1.775, 0.753, 1.246, -1.509, 0.190
0.285, 1.842, 0.795, 1.235, -1.508, 0.201
0.295, 1.901, 0.838, 1.223, -1.507, 0.212
0.305, 1.940, 0.881, 1.212, -1.505, 0.223
0.316, 1.946, 0.924, 1.202, -1.503, 0.234
0.326, 1.910, 0.962, 1.192, -1.501, 0.244
0.336, 1.880, 0.997, 1.183, -1.497, 0.253
0.346, 1.861, 1.029, 1.175, -1.494, 0.261
0.357, 1.802, 1.060, 1.167, -1.490, 0.269
0.367, 1.749, 1.085, 1.160, -1.485, 0.276
0.377, 1.697, 1.107, 1.153, -1.480, 0.282
0.387, 1.646, 1.126, 1.147, -1.474, 0.288
0.398, 1.580, 1.141, 1.142, -1.467, 0.292
0.408, 1.499, 1.152, 1.138, -1.460, 0.296
0.418, 1.455, 1.160, 1.134, -1.452, 0.299
0.429, 1.321, 1.161, 1.131, -1.443, 0.301
0.439, 1.222, 1.158, 1.130, -1.432, 0.301
0.449, 1.118, 1.150, 1.131, -1.420, 0.301
0.459, 1.065, 1.138, 1.132, -1.407, 0.300
0.470, 0.903, 1.118, 1.137, -1.391, 0.298
0.480, 0.797, 1.094, 1.144, -1.372, 0.295
0.490, 0.693, 1.064, 1.153, -1.352, 0.291
0.500, 0.592, 1.029, 1.165, -1.328, 0.286
0.510, 0.490, 0.987, 1.181, -1.300, 0.281
0.520, 0.388, 0.939, 1.200, -1.269, 0.275
0.530, 0.288, 0.884, 1.225, -1.232, 0.269
0.540, 0.189, 0.823, 1.254, -1.190, 0.262
0.550, 0.092, 0.755, 1.289, -1.143, 0.255
0.561, 0.042, 0.683, 1.327, -1.091, 0.248
0.571, -0.083, 0.603, 1.374, -1.031, 0.241
0.581, -0.162, 0.518, 1.426, -0.965, 0.234
0.591, -0.235, 0.430, 1.484, -0.892, 0.226
0.601, -0.304, 0.340, 1.547, -0.813, 0.219
0.611, -0.367, 0.254, 1.612, -0.732, 0.213
0.622, -0.424, 0.170, 1.680, -0.647, 0.206
0.632, -0.472, 0.088, 1.750, -0.560, 0.200
0.642, -0.513, 0.012, 1.820, -0.471, 0.194
0.652, -0.544, -0.057, 1.884, -0.388, 0.189
0.663, -0.559, -0.118, 1.944, -0.309, 0.184
0.673, -0.586, -0.175, 2.001, -0.231, 0.180
0.683, -0.598, -0.226, 2.053, -0.159, 0.176
0.693, -0.599, -0.271, 2.100, -0.092, 0.172
0.703, -0.589, -0.309, 2.139, -0.031, 0.169
0.713, -0.571, -0.342, 2.172, 0.024, 0.167
0.723, -0.548, -0.369, 2.197, 0.071, 0.165
0.733, -0.522, -0.390, 2.215, 0.112, 0.163
0.744, -0.491, -0.407, 2.228, 0.148, 0.162
0.754, -0.456, -0.418, 2.233, 0.176, 0.162
0.764, -0.432, -0.425, 2.235, 0.200, 0.162
0.774, -0.382, -0.427, 2.229, 0.217, 0.162
0.784, -0.361, -0.426, 2.221, 0.231, 0.163
0.794, -0.353, -0.422, 2.212, 0.244, 0.164
0.805, -0.325, -0.415, 2.200, 0.255, 0.164
0.815, -0.292, -0.405, 2.185, 0.262, 0.166
0.825, -0.223, -0.389, 2.163, 0.262, 0.167
0.835, -0.171, -0.368, 2.135, 0.257, 0.170
0.846, -0.122, -0.343, 2.105, 0.248, 0.172
0.856, -0.085, -0.315, 2.072, 0.237, 0.175
0.866, -0.073, -0.287, 2.042, 0.228, 0.177
0.876, -0.040, -0.258, 2.011, 0.218, 0.179
0.886, -0.028, -0.228, 1.983, 0.210, 0.181
0.897, -0.029, -0.199, 1.958, 0.205, 0.183
0.907, -0.018, -0.169, 1.935, 0.202, 0.185
0.917, 0.008, -0.141, 1.913, 0.200, 0.187
0.927, 0.034, -0.111, 1.891, 0.197, 0.188
0.938, 0.057, -0.082, 1.870, 0.195, 0.190
0.948, 0.065, -0.053, 1.851, 0.196, 0.191
0.958, 0.074, -0.027, 1.836, 0.199, 0.192
0.968, 0.092, -0.002, 1.821, 0.203, 0.193
0.979, 0.102, 0.024, 1.808, 0.210, 0.194
0.989, 0.117, 0.047, 1.797, 0.217, 0.195
0.999, 0.132, 0.069, 1.787, 0.225, 0.196
1.009, 0.145, 0.090, 1.778, 0.234, 0.197
1.019, 0.158, 0.110, 1.771, 0.244, 0.197
1.029, 0.170, 0.130, 1.764, 0.255, 0.198
1.039, 0.181, 0.148, 1.758, 0.267, 0.198
1.050, 0.191, 0.165, 1.754, 0.280, 0.198
1.060, 0.196, 0.181, 1.751, 0.295, 0.199
1.070, 0.216, 0.197, 1.747, 0.309, 0.199
1.080, 0.228, 0.213, 1.744, 0.324, 0.199
1.090, 0.240, 0.227, 1.741, 0.339, 0.199
1.100, 0.252, 0.241, 1.739, 0.354, 0.200
1.110, 0.266, 0.254, 1.737, 0.369, 0.200
1.120, 0.278, 0.267, 1.734, 0.385, 0.200
1.131, 0.291, 0.279, 1.732, 0.400, 0.200
1.141, 0.302, 0.290, 1.730, 0.415, 0.200
1.151, 0.312, 0.301, 1.728, 0.431, 0.200
1.161, 0.335, 0.312, 1.724, 0.445, 0.201
1.171, 0.356, 0.323, 1.719, 0.458, 0.201
1.182, 0.382, 0.335, 1.713, 0.468, 0.202
1.192, 0.399, 0.346, 1.705, 0.478, 0.202
1.202, 0.414, 0.357, 1.697, 0.488, 0.203
1.212, 0.430, 0.367, 1.689, 0.497, 0.204
1.222, 0.453, 0.378, 1.679, 0.504, 0.204
1.233, 0.467, 0.388, 1.668, 0.511, 0.205
1.243, 0.477, 0.397, 1.658, 0.518, 0.206
1.254, 0.489, 0.407, 1.647, 0.524, 0.207
1.264, 0.509, 0.416, 1.636, 0.529, 0.208
1.274, 0.532, 0.425, 1.622, 0.532, 0.209
1.284, 0.544, 0.434, 1.608, 0.534, 0.210
1.294, 0.556, 0.443, 1.594, 0.537, 0.212
1.305, 0.568, 0.451, 1.579, 0.538, 0.213
1.315, 0.623, 0.462, 1.559, 0.534, 0.215
1.325, 0.647, 0.474, 1.538, 0.529, 0.216
1.335, 0.672, 0.486, 1.515, 0.521, 0.218
1.345, 0.686, 0.498, 1.492, 0.513, 0.220
1.355, 0.713, 0.511, 1.466, 0.503, 0.222
1.366, 0.745, 0.525, 1.438, 0.489, 0.225
1.376, 0.762, 0.538, 1.410, 0.476, 0.227
1.386, 0.779, 0.551, 1.381, 0.461, 0.229
1.397, 0.798, 0.565, 1.350, 0.445, 0.232
1.407, 0.819, 0.578, 1.320, 0.428, 0.234
1.417, 0.839, 0.592, 1.289, 0.410, 0.237
1.427, 0.862, 0.606, 1.256, 0.390, 0.240
1.438, 0.885, 0.620, 1.220, 0.368, 0.243
1.448, 0.910, 0.635, 1.185, 0.344, 0.245
1.458, 0.978, 0.653, 1.143, 0.314, 0.249
1.468, 1.005, 0.672, 1.098, 0.281, 0.252
1.478, 1.036, 0.691, 1.053, 0.247, 0.256
1.488, 1.068, 0.711, 1.007, 0.211, 0.260
1.499, 1.103, 0.732, 0.958, 0.172, 0.264
1.509, 1.142, 0.754, 0.908, 0.131, 0.268
1.519, 1.186, 0.777, 0.855, 0.087, 0.272
1.529, 1.233, 0.802, 0.799, 0.039, 0.276
1.539, 1.280, 0.828, 0.741, -0.011, 0.281
1.549, 1.506, 0.867, 0.659, -0.086, 0.288
1.559, 1.730, 0.916, 0.558, -0.180, 0.296
1.569, 1.821, 0.968, 0.456, -0.277, 0.305
1.579, 1.952, 1.022, 0.351, -0.378, 0.315
1.590, 2.123, 1.084, 0.237, -0.489, 0.326
1.600, 2.146, 1.140, 0.140, -0.585, 0.336
1.610, 2.156, 1.192, 0.054, -0.670, 0.346
1.620, 2.158, 1.240, 0.001, -0.744, 0.356
1.630, 2.157, 1.285, 0.001, -0.810, 0.365
1.640, 2.153, 1.326, 0.001, -0.866, 0.373
1.651, 2.051, 1.361, 0.001, -0.912, 0.381
1.661, 2.018, 1.392, 0.001, -0.949, 0.387
1.671, 1.947, 1.417, 0.001, -0.978, 0.393
1.681, 1.903, 1.439, 0.001, -1.003, 0.398
1.691, 1.824, 1.456, 0.001, -1.021, 0.401
1.701, 1.824, 1.472, 0.001, -1.038, 0.405
1.711, 1.701, 1.482, 0.001, -1.048, 0.407
1.721, 1.701, 1.492, 0.001, -1.058, 0.409
1.731, 1.701, 1.501, 0.001, -1.067, 0.411
1.742, 1.701, 1.510, 0.001, -1.075, 0.413
1.752, 1.412, 1.505, 0.005, -1.071, 0.412
1.762, 1.166, 1.490, 0.020, -1.056, 0.409
1.772, 1.110, 1.473, 0.037, -1.039, 0.405
1.783, 1.057, 1.454, 0.056, -1.019, 0.401
1.793, 0.817, 1.425, 0.087, -0.987, 0.395
1.803, 0.726, 1.393, 0.124, -0.950, 0.388
1.813, 0.726, 1.362, 0.161, -0.911, 0.381
1.823, 0.631, 1.327, 0.205, -0.866, 0.374
1.833, 0.394, 1.281, 0.265, -0.803, 0.365
1.843, 0.338, 1.233, 0.333, -0.732, 0.356
1.854, 0.287, 1.180, 0.410, -0.651, 0.346
1.864, 0.196, 1.124, 0.494, -0.562, 0.336
