t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, 2.573, 0.000, 0.001, -3.142, 0.000
0.010, 2.554, 0.102, 1.560, -1.567, 0.026
0.020, 2.535, 0.199, 1.548, -1.563, 0.050
0.030, 2.517, 0.290, 1.536, -1.559, 0.073
0.040, 2.501, 0.377, 1.524, -1.556, 0.094
0.051, 2.485, 0.461, 1.513, -1.552, 0.115
0.061, 2.468, 0.540, 1.502, -1.548, 0.135
0.071, 2.451, 0.615, 1.491, -1.544, 0.154
0.081, 2.433, 0.687, 1.480, -1.539, 0.172
0.091, 2.414, 0.755, 1.469, -1.535, 0.189
0.101, 2.394, 0.819, 1.459, -1.531, 0.205
0.111, 2.375, 0.880, 1.449, -1.526, 0.221
0.122, 2.359, 0.940, 1.438, -1.521, 0.236
0.132, 2.348, 0.995, 1.428, -1.517, 0.250
0.142, 2.342, 1.047, 1.418, -1.512, 0.264
0.152, 2.341, 1.096, 1.409, -1.508, 0.276
0.163, 2.337, 1.145, 1.399, -1.503, 0.289
0.173, 2.337, 1.191, 1.389, -1.498, 0.301
0.183, 2.343, 1.234, 1.380, -1.493, 0.313
0.193, 2.354, 1.276, 1.371, -1.489, 0.324
0.203, 2.372, 1.316, 1.361, -1.484, 0.334
0.213, 2.397, 1.356, 1.352, -1.480, 0.345
0.223, 2.430, 1.395, 1.343, -1.476, 0.356
0.234, 2.466, 1.437, 1.333, -1.472, 0.367
0.244, 2.505, 1.476, 1.323, -1.468, 0.378
0.254, 2.548, 1.515, 1.313, -1.464, 0.388
0.264, 2.589, 1.554, 1.303, -1.461, 0.399
0.275, 2.666, 1.596, 1.293, -1.458, 0.411
0.285, 2.707, 1.636, 1.282, -1.455, 0.422
0.295, 2.743, 1.676, 1.272, -1.452, 0.433
0.305, 2.774, 1.715, 1.262, -1.449, 0.443
0.316, 2.801, 1.756, 1.252, -1.446, 0.455
0.326, 2.826, 1.794, 1.242, -1.444, 0.465
0.336, 2.852, 1.831, 1.233, -1.441, 0.476
0.346, 2.879, 1.868, 1.223, -1.438, 0.486
0.357, 2.904, 1.906, 1.213, -1.435, 0.497
0.367, 2.929, 1.941, 1.204, -1.432, 0.507
0.377, 2.954, 1.976, 1.194, -1.429, 0.517
0.387, 2.977, 2.010, 1.185, -1.426, 0.527
0.398, 3.000, 2.045, 1.176, -1.423, 0.538
0.408, 3.022, 2.078, 1.167, -1.420, 0.547
0.418, 3.043, 2.110, 1.158, -1.418, 0.557
0.429, 3.061, 2.142, 1.148, -1.415, 0.567
0.439, 3.077, 2.173, 1.140, -1.412, 0.576
0.449, 3.091, 2.202, 1.131, -1.409, 0.585
0.459, 3.103, 2.231, 1.123, -1.406, 0.594
0.470, 3.114, 2.260, 1.114, -1.403, 0.604
0.480, 3.123, 2.287, 1.106, -1.399, 0.612
0.490, 3.130, 2.312, 1.098, -1.396, 0.620
0.500, 3.136, 2.337, 1.090, -1.393, 0.629
0.510, -3.141, 2.031, 1.155, -1.317, 0.575
0.520, -3.136, 1.686, 1.246, -1.214, 0.525
0.530, -3.129, 1.292, 1.373, -1.074, 0.477
0.540, -3.124, 0.875, 1.532, -0.900, 0.435
0.550, -3.118, 0.464, 1.718, -0.697, 0.397
0.561, -3.112, 0.089, 1.920, -0.478, 0.363
0.571, -3.106, -0.234, 2.120, -0.257, 0.332
0.581, -3.102, -0.506, 2.308, -0.047, 0.305
0.591, -3.098, -0.736, 2.477, 0.147, 0.280
0.601, -3.091, -0.930, 2.626, 0.322, 0.256
0.611, -3.089, -1.088, 2.748, 0.472, 0.235
0.622, -3.088, -1.222, 2.851, 0.603, 0.216
0.632, -3.087, -1.337, 2.940, 0.722, 0.197
0.642, -3.085, -1.435, 3.014, 0.827, 0.179
0.652, -3.083, -1.514, 3.073, 0.917, 0.163
0.663, -3.080, -1.580, 3.122, 0.997, 0.147
0.673, -3.076, -1.635, 3.163, 1.070, 0.133
0.683, -3.069, -1.679, 3.197, 1.136, 0.118
0.693, -3.060, -1.713, 3.225, 1.196, 0.105
0.703, -3.049, -1.740, 3.248, 1.252, 0.091
0.713, -3.037, -1.758, 3.267, 1.304, 0.078
0.723, -3.025, -1.769, 3.282, 1.352, 0.065
0.733, -3.015, -1.774, 3.293, 1.397, 0.053
0.744, -3.007, -1.773, 3.303, 1.441, 0.040
0.754, -3.001, -1.768, 3.309, 1.481, 0.027
0.764, -2.997, -1.759, 3.313, 1.518, 0.015
0.774, -2.995, -1.747, 3.315, 1.554, 0.002
0.784, -2.998, -1.732, 3.315, 1.587, -0.010
0.794, -3.005, -1.716, 3.313, 1.619, -0.023
0.805, -3.015, -1.699, 3.310, 1.649, -0.037
0.815, -3.026, -1.682, 3.304, 1.677, -0.050
0.825, -3.039, -1.665, 3.297, 1.704, -0.064
0.835, -3.052, -1.647, 3.288, 1.729, -0.079
0.846, -3.058, -1.630, 3.278, 1.753, -0.093
0.856, -3.060, -1.613, 3.266, 1.775, -0.108
0.866, -3.067, -1.597, 3.254, 1.795, -0.123
0.876, -3.077, -1.582, 3.240, 1.814, -0.138
0.886, -3.091, -1.568, 3.225, 1.832, -0.153
0.897, -3.105, -1.556, 3.208, 1.848, -0.169
0.907, -3.119, -1.545, 3.190, 1.864, -0.186
0.917, -3.134, -1.535, 3.172, 1.878, -0.202
0.927, 3.132, -1.014, 3.231, 1.970, -0.157
0.938, 3.113, -0.520, 3.298, 2.070, -0.118
0.948, 3.094, -0.054, 3.372, 2.179, -0.082
0.958, 3.077, 0.336, 3.444, 2.286, -0.053
0.968, 3.061, 0.675, 3.515, 2.392, -0.027
0.979, 3.047, 0.979, 3.587, 2.501, -0.003
0.989, 3.034, 1.222, 3.650, 2.601, 0.016
0.999, 3.022, 1.427, 3.709, 2.697, 0.033
1.009, 3.008, 1.597, 3.762, 2.788, 0.048
1.019, 2.994, 1.736, 3.811, 2.875, 0.062
1.029, 2.978, 1.846, 3.855, 2.958, 0.074
1.039, 2.961, 1.930, 3.896, 3.037, 0.084
1.050, 2.942, 1.990, 3.933, 3.113, 0.094
1.060, 2.924, 2.028, 3.967, -3.096, 0.104
1.070, 2.907, 2.046, 3.999, -3.023, 0.112
1.080, 2.888, 2.044, 4.031, -2.950, 0.121
1.090, 2.867, 2.026, 4.061, -2.879, 0.129
1.100, 2.845, 1.994, 4.090, -2.809, 0.138
1.110, 2.825, 1.949, 4.119, -2.738, 0.146
1.120, 2.805, 1.893, 4.149, -2.667, 0.155
1.131, 2.790, 1.827, 4.178, -2.595, 0.165
1.141, 2.775, 1.757, 4.208, -2.523, 0.175
1.151, 2.764, 1.679, 4.238, -2.449, 0.186
1.161, 2.755, 1.601, 4.268, -2.376, 0.197
1.171, 2.746, 1.521, 4.297, -2.304, 0.209
1.182, 2.737, 1.440, 4.325, -2.232, 0.222
1.192, 2.727, 1.359, 4.352, -2.160, 0.235
1.202, 2.715, 1.277, 4.378, -2.089, 0.250
1.212, 2.701, 1.199, 4.402, -2.021, 0.265
1.222, 2.685, 1.124, 4.423, -1.956, 0.280
1.233, 2.667, 1.047, 4.442, -1.888, 0.297
1.243, 2.647, 0.978, 4.458, -1.828, 0.313
1.254, 2.623, 0.912, 4.471, -1.769, 0.331
1.264, 2.594, 0.852, 4.481, -1.714, 0.348
1.274, 2.564, 0.798, 4.487, -1.662, 0.366
1.284, 2.534, 0.751, 4.491, -1.612, 0.384
1.294, 2.503, 0.713, 4.492, -1.566, 0.401
1.305, 2.473, 0.685, 4.490, -1.520, 0.420
1.315, 2.444, 0.669, 4.486, -1.479, 0.438
1.325, 2.416, 0.666, 4.480, -1.440, 0.456
1.335, 2.390, 0.678, 4.472, -1.403, 0.473
1.345, 2.365, 0.705, 4.461, -1.368, 0.490
1.355, 2.341, 0.748, 4.450, -1.334, 0.507
1.366, 2.319, 0.807, 4.437, -1.301, 0.523
1.376, 2.301, 0.878, 4.423, -1.269, 0.537
1.386, 2.285, 0.959, 4.409, -1.239, 0.551
1.397, 2.251, 1.049, 4.395, -1.206, 0.565
1.407, 2.231, 1.135, 4.381, -1.176, 0.576
1.417, 2.211, 1.220, 4.368, -1.145, 0.587
1.427, 2.191, 1.298, 4.355, -1.113, 0.596
1.438, 2.173, 1.370, 4.342, -1.080, 0.605
1.448, 2.164, 1.429, 4.330, -1.048, 0.613
1.458, 2.165, 1.476, 4.318, -1.016, 0.620
1.468, 2.172, 1.513, 4.306, -0.983, 0.627
1.478, 2.181, 1.537, 4.294, -0.952, 0.633
1.488, 2.192, 1.549, 4.282, -0.921, 0.640
1.499, 2.208, 1.548, 4.269, -0.890, 0.647
1.509, 2.234, 1.538, 4.255, -0.861, 0.654
1.519, 2.265, 1.517, 4.240, -0.834, 0.661
1.529, 2.305, 1.488, 4.222, -0.809, 0.669
1.539, 2.354, 1.452, 4.203, -0.786, 0.678
1.549, 2.401, 1.410, 4.181, -0.765, 0.688
1.559, 2.412, 1.362, 4.158, -0.746, 0.698
1.569, 2.466, 1.312, 4.132, -0.730, 0.710
1.579, 2.559, 1.265, 4.102, -0.718, 0.723
1.590, 2.609, 1.219, 4.069, -0.709, 0.737
1.600, 2.654, 1.178, 4.034, -0.703, 0.751
1.610, 2.696, 1.142, 3.998, -0.698, 0.767
1.620, 2.738, 1.112, 3.960, -0.696, 0.783
1.630, 2.777, 1.089, 3.920, -0.696, 0.800
1.640, 2.813, 1.075, 3.879, -0.698, 0.818
1.651, 2.844, 1.069, 3.836, -0.701, 0.836
1.661, 2.871, 1.073, 3.793, -0.705, 0.854
1.671, 2.898, 1.086, 3.751, -0.709, 0.873
1.681, 2.926, 1.108, 3.708, -0.714, 0.891
1.691, 2.955, 1.138, 3.666, -0.719, 0.910
1.701, 2.984, 1.178, 3.623, -0.725, 0.928
1.711, 3.013, 1.225, 3.582, -0.730, 0.947
1.721, 3.039, 1.279, 3.541, -0.735, 0.965
1.731, 3.062, 1.339, 3.501, -0.739, 0.982
1.742, 3.081, 1.402, 3.462, -0.743, 1.000
1.752, 3.097, 1.470, 3.423, -0.746, 1.017
1.762, 3.109, 1.535, 3.387, -0.747, 1.033
1.772, 3.115, 1.599, 3.352, -0.748, 1.049
1.783, 3.123, 1.663, 3.317, -0.748, 1.065
1.793, 3.133, 1.721, 3.285, -0.747, 1.079
1.803, 3.140, 1.776, 3.254, -0.745, 1.093
1.813, -3.134, 1.269, 3.364, -0.601, 1.046
1.823, -3.125, 0.815, 3.474, -0.457, 1.005
1.833, -3.114, 0.417, 3.579, -0.317, 0.967
1.843, -3.103, 0.073, 3.676, -0.182, 0.933
1.854, -3.092, -0.234, 3.770, -0.049, 0.902
1.864, -3.081, -0.478, 3.851, 0.070, 0.874
1.874, -3.069, -0.680, 3.924, 0.183, 0.849
1.884, -3.059, -0.842, 3.990, 0.288, 0.826
1.895, -3.054, -0.972, 4.050, 0.389, 0.804
1.905, -3.041, -1.070, 4.104, 0.486, 0.783
1.915, -3.033, -1.138, 4.154, 0.579, 0.763
1.926, -3.021, -1.179, 4.199, 0.668, 0.743
1.937, -3.013, -1.195, 4.240, 0.754, 0.723
1.947, -3.007, -1.191, 4.277, 0.837, 0.704
1.958, -3.002, -1.170, 4.310, 0.913, 0.686
1.968, -2.997, -1.135, 4.339, 0.986, 0.667
1.978, -2.991, -1.086, 4.368, 1.061, 0.647
1.989, -2.985, -1.028, 4.392, 1.131, 0.627
1.999, -2.979, -0.965, 4.414, 1.198, 0.607
2.009, -2.973, -0.897, 4.432, 1.261, 0.586
2.019, -2.967, -0.825, 4.448, 1.321, 0.565
2.029, -2.962, -0.749, 4.461, 1.380, 0.543
2.039, -2.958, -0.675, 4.470, 1.434, 0.520
2.050, -2.957, -0.601, 4.477, 1.486, 0.496
2.060, -2.959, -0.530, 4.481, 1.536, 0.472
2.070, -2.964, -0.461, 4.482, 1.582, 0.447
2.080, -2.973, -0.397, 4.479, 1.625, 0.421
2.090, -2.983, -0.338, 4.474, 1.665, 0.395
2.100, -2.991, -0.285, 4.466, 1.702, 0.368
2.110, -2.997, -0.237, 4.456, 1.737, 0.340
2.120, -3.002, -0.195, 4.442, 1.768, 0.312
2.130, -3.005, -0.160, 4.427, 1.797, 0.284
2.140, -3.007, -0.132, 4.409, 1.824, 0.255
2.151, -3.010, -0.112, 4.389, 1.848, 0.226
2.161, -3.016, -0.099, 4.365, 1.871, 0.195
2.172, -3.025, -0.096, 4.341, 1.892, 0.164
2.182, -3.038, -0.103, 4.315, 1.910, 0.134
2.192, -3.056, -0.121, 4.287, 1.927, 0.104
2.203, -3.073, -0.153, 4.257, 1.942, 0.073
2.213, -3.090, -0.196, 4.227, 1.955, 0.043
2.223, -3.103, -0.256, 4.196, 1.968, 0.013
2.233, -3.130, -0.330, 4.164, 1.979, -0.016
2.244, 3.131, -0.119, 4.205, 2.062, 0.018
2.254, 3.110, 0.075, 4.250, 2.150, 0.050
2.264, 3.095, 0.262, 4.299, 2.244, 0.081
2.274, 3.076, 0.426, 4.347, 2.336, 0.109
2.285, 3.058, 0.584, 4.400, 2.436, 0.136
2.296, 3.045, 0.728, 4.454, 2.537, 0.161
2.306, 3.034, 0.849, 4.504, 2.633, 0.184
2.316, 3.022, 0.957, 4.554, 2.729, 0.206
2.326, 2.995, 1.046, 4.603, 2.824, 0.226
2.336, 2.996, 1.122, 4.651, 2.919, 0.245
2.347, 2.966, 1.180, 4.697, 3.013, 0.264
2.357, 2.952, 1.223, 4.742, 3.105, 0.281
2.367, 2.937, 1.252, 4.787, -3.082, 0.299
2.378, 2.921, 1.266, 4.830, -2.990, 0.316
