t, thetas, theta_hats, omegas, gait_phase, offsets
0.000, 3.057, 0.000, 0.001, -3.142, 0.000
0.010, 3.054, 0.121, 1.560, -1.567, 0.030
0.020, 3.051, 0.237, 1.548, -1.563, 0.059
0.030, 3.046, 0.348, 1.536, -1.560, 0.087
0.040, 3.040, 0.455, 1.524, -1.556, 0.114
0.051, 3.034, 0.557, 1.513, -1.552, 0.139
0.061, 3.026, 0.658, 1.501, -1.548, 0.165
0.071, 3.018, 0.751, 1.490, -1.544, 0.188
0.081, 3.009, 0.840, 1.479, -1.540, 0.210
0.091, 3.000, 0.924, 1.468, -1.535, 0.232
0.101, 2.989, 1.006, 1.458, -1.531, 0.252
0.112, 2.978, 1.083, 1.447, -1.527, 0.272
0.122, 2.967, 1.156, 1.437, -1.522, 0.291
0.132, 2.956, 1.229, 1.427, -1.518, 0.309
0.142, 2.946, 1.295, 1.417, -1.513, 0.326
0.152, 2.948, 1.359, 1.407, -1.509, 0.343
0.163, 2.926, 1.419, 1.398, -1.504, 0.358
0.173, 2.916, 1.475, 1.388, -1.499, 0.373
0.183, 2.906, 1.529, 1.379, -1.495, 0.387
0.193, 2.895, 1.580, 1.370, -1.490, 0.401
0.203, 2.886, 1.628, 1.361, -1.485, 0.414
0.213, 2.876, 1.674, 1.352, -1.480, 0.426
0.223, 2.867, 1.717, 1.344, -1.475, 0.438
0.233, 2.858, 1.758, 1.335, -1.470, 0.449
0.244, 2.849, 1.798, 1.327, -1.464, 0.461
0.254, 2.839, 1.834, 1.319, -1.459, 0.471
0.265, 2.829, 1.870, 1.310, -1.453, 0.481
0.275, 2.819, 1.901, 1.302, -1.448, 0.491
0.285, 2.809, 1.931, 1.295, -1.442, 0.500
0.295, 2.797, 1.958, 1.287, -1.437, 0.509
0.305, 2.786, 1.983, 1.280, -1.431, 0.517
0.316, 2.774, 2.008, 1.272, -1.425, 0.525
0.326, 2.758, 2.029, 1.265, -1.420, 0.532
0.336, 2.742, 2.049, 1.259, -1.414, 0.539
0.346, 2.724, 2.066, 1.252, -1.408, 0.546
0.356, 2.702, 2.081, 1.245, -1.402, 0.552
0.366, 2.677, 2.094, 1.239, -1.395, 0.558
0.376, 2.651, 2.105, 1.233, -1.389, 0.564
0.386, 2.622, 2.114, 1.228, -1.382, 0.569
0.396, 2.589, 2.120, 1.222, -1.375, 0.574
0.406, 2.554, 2.124, 1.217, -1.368, 0.578
0.416, 2.514, 2.126, 1.213, -1.360, 0.582
0.427, 2.471, 2.124, 1.208, -1.352, 0.586
0.437, 2.427, 2.120, 1.204, -1.344, 0.589
0.447, 2.381, 2.114, 1.201, -1.335, 0.591
0.457, 2.335, 2.105, 1.198, -1.326, 0.594
0.467, 2.291, 2.093, 1.195, -1.317, 0.596
0.478, 2.250, 2.078, 1.192, -1.307, 0.597
0.488, 2.203, 2.062, 1.190, -1.297, 0.599
0.498, 2.176, 2.044, 1.188, -1.287, 0.600
0.508, 2.154, 2.026, 1.186, -1.277, 0.601
0.519, 2.132, 2.006, 1.184, -1.266, 0.602
0.529, 2.109, 1.986, 1.182, -1.256, 0.604
0.539, 2.087, 1.965, 1.180, -1.246, 0.605
0.550, 2.069, 1.943, 1.178, -1.236, 0.606
0.561, 2.054, 1.920, 1.176, -1.225, 0.607
0.571, 2.044, 1.900, 1.173, -1.216, 0.609
0.581, 2.039, 1.880, 1.170, -1.207, 0.610
0.591, 2.039, 1.862, 1.167, -1.199, 0.612
0.602, 2.044, 1.844, 1.163, -1.191, 0.614
0.612, 2.053, 1.829, 1.158, -1.183, 0.616
0.622, 2.066, 1.815, 1.153, -1.177, 0.619
0.632, 2.081, 1.804, 1.147, -1.171, 0.621
0.642, 2.101, 1.795, 1.140, -1.166, 0.624
0.652, 2.124, 1.788, 1.133, -1.162, 0.628
0.662, 2.151, 1.784, 1.125, -1.159, 0.631
0.672, 2.180, 1.783, 1.116, -1.156, 0.635
0.682, 2.214, 1.784, 1.107, -1.154, 0.640
0.693, 2.251, 1.788, 1.096, -1.154, 0.644
0.703, 2.289, 1.795, 1.086, -1.153, 0.649
0.713, 2.328, 1.805, 1.074, -1.154, 0.655
0.723, 2.369, 1.817, 1.062, -1.155, 0.660
0.733, 2.413, 1.832, 1.049, -1.158, 0.666
